"filling nu" "spin correlations t' = -0.2 t" "spin correlations t' = 0.0 t" "spin correlations t' = 0.2 t"
0.0 0.049880915830593425 0.049880915181951285 0.049880916281754256
0.05555555555555555 0.041580095260580985 0.04158793962957258 0.047971438719139295
0.1111111111111111 0.03222409296949832 0.03782513534472615 0.044881252331648004
0.2222222222222222 0.010786481731404361 0.025361166199161452 0.04012018562314664
0.2777777777777778 -0.00043309473309120945 0.013718760537399293 0.04043149207994179
0.3333333333333333 -0.011449046925499489 0.0075590097821256075 0.035470299078998374
0.3888888888888889 -0.020946018585947187 -0.003941222925249455 0.027932264777317053
0.4444444444444444 -0.026942115638879355 -0.017201110573247014 0.030094486549471715
0.5555555555555556 -0.030040380885804224 -0.02166165264184216 0.02357759949008482
0.6666666666666666 -0.03326157294651106 -0.02417542674600192 0.01501202313637209
0.7777777777777778 -0.029411101864257813 -0.022190061257757618 0.005663204935753071
0.8888888888888888 -0.024945682582755223 -0.02072617380849671 -0.007666230619165419
1.0 -0.004412988977529743 -0.01895811674736885 -0.017010132042850318
1.1111111111111112 -0.013007318365341946 -0.009720612732083344 -0.005151597360035089
1.3333333333333333 0.007577150690981013 0.0016264740085484653 0.003974109379666167
1.5555555555555556 0.003585112548200744 0.007814498829352005 0.0066298137682210215
2.0 0.0031649925377906993 0.006207411544996365 0.009419403183122082
